shift_id,note,rules,tfidf_knn,tfidf_conf,agree
S108139,"client asked us to stay for the delivery, ok'd by centre mgmt",client_requested,client_requested,1.0,True
S106859,fine,blank,blank,1.0,True
S103877,sharp,blank,blank,1.0,True
S103656,"DOUBLE DUTY TODAY, FOURIE ON FAMILY RESPONSIBILITY LEAVE",absence_cover,absence_cover,1.0,True
S105093,"client asked us to stay for the delivery, ok'd by centre mgmt..",client_requested,client_requested,1.0,True
S105680,"client wanted extra man on the gate for the event, approved",client_requested,client_requested,1.0,True
S101121,niks om te rapporteer nie,routine,routine,0.97,True
S108690,no incidents,routine,absence_cover,1.0,False
S105807,klient het ekstra ure gevra vir stockake,client_requested,client_requested,1.0,True
S105217,shift handover delayed by 25 min,late_handover,late_handover,1.0,True
S105371,ok,blank,blank,1.0,True
S106224,"gedek vir Adams, siek gemeld",absence_cover,absence_cover,1.0,True
S108070,stood in for Radebe,absence_cover,absence_cover,0.7,True
S104308,Next shift guard did not pitch. Had to cover,absence_cover,absence_cover,1.0,True
S105062,quiet shift,routine,routine,0.9,True
S101434,"scrubber broke down, had to do the floor manually..",equipment_failure,equipment_failure,1.0,True
S103671,Covering for September - booked off sick..,absence_cover,absence_cover,1.0,True
S108354,"gedek vir Tshabaala, siek gemeld",absence_cover,absence_cover,1.0,True
S108267,Centre mgr requested additionaal cover for stocktake,client_requested,client_requested,1.0,True
S108389,"requested by centre management for load in, signed off",client_requested,client_requested,1.0,True
S103433,"stocktake ran over, client asked us to remain, they know they pay for it",client_requested,client_requested,1.0,True
S106978,"next shift akafikanga, ngihlale kuze kube six",absence_cover,absence_cover,1.0,True
S106245,sharp,blank,blank,1.0,True
S106878,"September didt come in, covered the post",absence_cover,absence_cover,1.0,True
S104428,"stocktake ran over, client asked us to remain, thhey know they pay for it",client_requested,client_requested,1.0,True
S102342,.,blank,blank,1.0,True
S105877,all good,routine,routine,0.98,True
S106936,ok,blank,blank,1.0,True
S107938,"late handover, waiting on paperwork",late_handover,late_handover,1.0,True
S108000,"handover late agn, keys missing..",late_handover,late_handover,1.0,True
S103399,ntr,blank,blank,1.0,True
S101233,"took Jacobs shift as well, 2 posts 1 guard",absence_cover,absence_cover,0.5,True
S101223,Client requested deep clean before the audit - approved,client_requested,client_requested,1.0,True
S105661,double shift because relief never pitched,absence_cover,absence_cover,1.0,True
S108187,"oorhandiging was laat, gewag vir sletuels !",late_handover,late_handover,1.0,True
S106210,all good,routine,routine,0.98,True
S104295,"machine down again, took twice as long",equipment_failure,equipment_failure,1.0,True
S101088,"scrubber broke down, had to do the floor manualyl",equipment_failure,equipment_failure,1.0,True
S104328,Centre manager requested additional cover for stocktake,client_requested,client_requested,1.0,True
S101143,extra hours approved by client for the event seup,client_requested,client_requested,1.0,True
S107378,n/a,blank,blank,1.0,True
S109333,"lift out of order, everything carried up stairs, took long",equipment_failure,equipment_failure,0.57,True
S106514,shift handover delayed by 25 min,late_handover,late_handover,1.0,True
S101642,Client requested deep clean before the audit - approved,client_requested,client_requested,1.0,True
S100593,"took fourie shift as wll, 2 posts 1 guard",absence_cover,routine,0.74,False
S105147,"client says stay till 06:00, dont know if office approved",client_requested,client_requested,1.0,True
S105777,"client asked us to stay for the delivery, ok'd by centre mgmt",client_requested,client_requested,1.0,True
S103083,"still on site, relief was suppose to come 0600",absence_cover,absence_cover,1.0,True
S107881,Client requested deep clean before the audit - approved,client_requested,client_requested,1.0,True
S100164,"uFouire akezanga namhlanje, ngimele yena",absence_cover,absence_cover,1.0,True
S106903,relief no show AGAIN,absence_cover,absence_cover,1.0,True
S106247,next shift guard did not pitch. had to cover,absence_cover,absence_cover,1.0,True
S108878,"handover late again, keys missing",late_handover,late_handover,1.0,True
S102888,"double duty today, Mahlangu on family responsibility leave",absence_cover,absence_cover,1.0,True
S107172,nothing to report,routine,routine,0.93,True
S105907,stood in for Mthembu,absence_cover,absence_cover,0.71,True
S107272,"aflos het nie opgedaag nie, moes aanbly",absence_cover,absence_cover,0.42,True
S107719,Covered for Motaung again - 3rd time this month,absence_cover,absence_cover,1.0,True
S107751,"September didnt come in, covered the post !",absence_cover,absence_cover,1.0,True
S100406,as per normal,routine,routine,0.96,True
S101019,"late handover, waiting on paperwork",late_handover,late_handover,1.0,True
S104171,"requested by centre management for load in, signed off",client_requested,client_requested,1.0,True
S100329,client signed for the extra hours but real reason is relief no show again,absence_cover,absence_cover,1.0,True
S104084,"late handover, waiting on paperwork",late_handover,late_handover,1.0,True
S105455,Covering for Mahlangu - booked off sick,absence_cover,absence_cover,1.0,True
S104307,"requested by centre management for load in, signed off",client_requested,client_requested,1.0,True
S107353,nothing to report,routine,routine,0.93,True
S105081,"control room says relief coming, nobody came",absence_cover,absence_cover,1.0,True
S104524,all quiet,routine,routine,1.0,True
S106429,shift handover delayed by 30 min,late_handover,late_handover,1.0,True
S103630,"Botha absent, took her rounds as well",absence_cover,absence_cover,1.0,True
S101912,"covering khumalo post, no show no call",absence_cover,absence_cover,1.0,True
S106449,client requested deep clean before the audit - approved !,client_requested,client_requested,1.0,True
S102915,"worked through, Baloyi at the clinic",absence_cover,absence_cover,0.88,True
S108089,"conntrol room says relief coming, nobody came",absence_cover,absence_cover,1.0,True
S100063,"Botha didnt come in, covered the post",absence_cover,absence_cover,1.0,True
S109151,no incidents,routine,absence_cover,1.0,False
S105810,covered for mauel again - 3rd time this month,absence_cover,absence_cover,1.0,True
S100324,"still on site, relief was suppose to come 06:00",absence_cover,absence_cover,1.0,True
S108372,"worked through, Sibiya at the clinic..",absence_cover,absence_cover,1.0,True
S104893,"waited 20 min for handover, OB book not signed",late_handover,late_handover,1.0,True
S106412,"uTshabalala akezanga namhlanje, ngimele yena",absence_cover,absence_cover,1.0,True
S106153,stood in for Pillay..,absence_cover,routine,0.55,False
S107045,relief no show AGAIN,absence_cover,absence_cover,1.0,True
S104802,"extra patrol per client email, approved by office",client_requested,client_requested,1.0,True
S108282,klient het ekstra ure gevra vir stocktake,client_requested,client_requested,1.0,True
S103468,"waited 25 min for handover, OB book not signed",late_handover,late_handover,1.0,True
S100592,"client asked us to stay for the delivery, ok'd by centre mgmt",client_requested,client_requested,1.0,True
S104639,"additional cover requested by site mgr, signed off",client_requested,client_requested,1.0,True
S106391,akukho lutho,routine,routine,1.0,True
S102310,.,blank,blank,1.0,True
S108259,"gate motor failed, manned it by hand till 6",equipment_failure,equipment_failure,0.85,True
S107682,-,blank,blank,1.0,True
S106087,"relief only arrived 06h00, stayed until then",absence_cover,absence_cover,1.0,True
S101617,,blank,blank,1.0,True
S103563,sharp,blank,blank,1.0,True
S107432,ntr,blank,blank,1.0,True
S105979,fine,blank,blank,1.0,True
S107340,Covering for Mahlangu - bookked off sick,absence_cover,absence_cover,1.0,True
S103376,"client wanted extra man on the gate for the event, approved",client_requested,client_requested,1.0,True
S107293,"relief never arrived, stayed on till 6",absence_cover,absence_cover,1.0,True
S100954,ok,blank,blank,1.0,True
S101549,"handover late agn, keys missing",late_handover,late_handover,1.0,True
S100624,akukho lutho,routine,routine,1.0,True
S100926,"covering Hendricks pos, no show no call",absence_cover,absence_cover,1.0,True
S103528,Centre mgr requested additional cover for stocktake,client_requested,client_requested,1.0,True
S107844,Clint requested deep clean before the audit - approved,client_requested,client_requested,1.0,True
S106119,"uMolefe akezanga namhlanje, ngimele yena",absence_cover,absence_cover,1.0,True
S101874,"no replacement sent, ngicela sort this out",absence_cover,absence_cover,1.0,True
S107803,fine,blank,blank,1.0,True
S105335,client asked for extra patrol after the break-in tueesday,client_requested,client_requested,1.0,True
S107833,"oorhandiging was laa, gewag vir sleutels",late_handover,late_handover,1.0,True
S108358,"took Motaung shift as well, 2 posts 1 guard",absence_cover,routine,0.74,False
S101505,,blank,blank,1.0,True
S106236,extra hours approved by clent for the event setup,client_requested,client_requested,1.0,True
S101047,Centre manager requested additional cover for stocktake,client_requested,client_requested,1.0,True
S109288,all quiet,routine,routine,1.0,True
S104123,nothing to report,routine,routine,0.93,True
S108613,"oorhandiging was laat, gewag vir sleutels",late_handover,late_handover,1.0,True
S103780,nothing to report,routine,routine,0.93,True
S109338,relief no show again,absence_cover,absence_cover,1.0,True
S106991,"client asked us to stay for the delivery, ok'd by cnetre mgmt",client_requested,client_requested,1.0,True
S108913,double shift bc relief never pitched,absence_cover,absence_cover,1.0,True
S101184,shift handover delayed by 25 min,late_handover,late_handover,1.0,True
S101387,"gedek vir Adaams, siek gemeld",absence_cover,absence_cover,1.0,True
S108219,nothing to report,routine,routine,0.93,True
S101599,client signed for the extra hours but real reason is relief no show agin,absence_cover,absence_cover,1.0,True
S106262,"covering Molefe post, no sow no call..",absence_cover,absence_cover,1.0,True
S102769,n/a,blank,blank,1.0,True
S109299,"Hendricks didnt come in, coevred the post",absence_cover,absence_cover,1.0,True
S101576,"waited 30 min for handover, OB book not signed !",late_handover,late_handover,1.0,True
S104408,"ugNcobo akezanga namhlanje, ngimele yena",absence_cover,absence_cover,1.0,True
S102020,"took Wyk shift as well, 2 posts 1 guard",absence_cover,absence_cover,1.0,True
S105189,CLIENT REQUESTED DEEP CLEAN BEFORE THE AUDIT - APPROVED,client_requested,client_requested,1.0,True
S101875,shift handover delayed by 30 min,late_handover,late_handover,1.0,True
S103448,"Mokoena didnt come in, covered the pst",absence_cover,absence_cover,1.0,True
S104440,"waited for relief, nobody came through",absence_cover,late_handover,0.6,False
S103026,relief no shwo AGAIN,absence_cover,absence_cover,1.0,True
S100892,"uJacobs akezanga namhlanje, ngimele yena..",absence_cover,absence_cover,1.0,True
S107877,shift handover delayed by 45 min,late_handover,late_handover,1.0,True
S108492,fine,blank,blank,1.0,True
S107113,"handover late again, keys missing",late_handover,late_handover,1.0,True
S104838,"cllient says stay till 06h00, dont know if office approved",client_requested,client_requested,1.0,True
S104527,Covreed for Mabaso agn - 3rd time this month,absence_cover,absence_cover,1.0,True
S106371,"double duty today, Dlamini on family responsibility leave",absence_cover,absence_cover,1.0,True
S108108,"aflos het nie opgedaag nie, moes aanbly",absence_cover,absence_cover,0.42,True
S102956,"late handover, waiting on paperwork..",late_handover,late_handover,1.0,True
S101752,"gedek vir Maluleke, siek gemeld",absence_cover,absence_cover,1.0,True
S103686,"relief never arrived, stayed on till 06h00",absence_cover,absence_cover,1.0,True
S104188,"TOOK SIBIYA SHIFT AS WELL, 2 POSTS 1 GUARD",absence_cover,routine,0.53,False
S107471,.,blank,blank,1.0,True
S107963,"Sithole absent, took her rounds as well..",absence_cover,absence_cover,0.84,True
S101906,"scrubber broke down, had to do the flooor manually",equipment_failure,equipment_failure,1.0,True
S102383,"client wanted extra man on the gate for the event, appoved",client_requested,client_requested,1.0,True
S104172,"generator fault, stayed to monitor",equipment_failure,equipment_failure,0.98,True
S108025,"reliief only arrived 06:00, stayed until then",absence_cover,absence_cover,0.78,True
S109329,"client says stay till 6am, dont kow if office approved",client_requested,client_requested,1.0,True
S103063,"took Wyk shift as well, 2 posts 1 guard",absence_cover,absence_cover,1.0,True
S100422,mavuso off sick. again. covered.,absence_cover,absence_cover,1.0,True
S107743,"gedek vir Khumalo, siek gemeld !",absence_cover,absence_cover,1.0,True
S100921,as per normal,routine,routine,0.96,True
S108442,"oorhandiging was laat, gewag vir sleutels",late_handover,late_handover,1.0,True
S107824,Centre manager requested additional cover for stocktake,client_requested,client_requested,1.0,True
S106793,client signed for the extra hours but real reason is relief no show agn..,absence_cover,absence_cover,1.0,True
S101513,"TOOK BOTHA SHIFT AS WELL, 2 POSTS 1 GUARD",absence_cover,absence_cover,1.0,True
S102046,"client wanted extra man on the gate for the event, approved",client_requested,client_requested,1.0,True
S108952,"handover late again, keys missign",late_handover,late_handover,1.0,True
S105999,stood in for Ndlovu,absence_cover,routine,0.57,False
S103398,"control room syas relief coming, nobody came",absence_cover,absence_cover,1.0,True
S102032,"machine down again, took twice as long..",equipment_failure,equipment_failure,1.0,True
S108170,"lift out of order, everything carried up stairs, took long",equipment_failure,equipment_failure,0.57,True
S103186,"waited 45 min for handover, ob book not signed",late_handover,late_handover,1.0,True
S103258,n/a,blank,blank,1.0,True
S102514,"maluleke absent, took her rounds as well",absence_cover,absence_cover,0.7,True
S101242,extra hours approved by cliennt for the event setup,client_requested,client_requested,1.0,True
S103855,"oorhandiging was laat, gewag vir sleutels",late_handover,late_handover,1.0,True
S107720,"machine down again, took twce as long",equipment_failure,equipment_failure,1.0,True
S104067,sharp,blank,blank,1.0,True
S105344,"covering Mokoena post, no show no call",absence_cover,absence_cover,1.0,True
S100153,"buffer machine kaput, did the floor by hand",equipment_failure,equipment_failure,1.0,True
S100195,"additional cover requuested by site maanger, signed off",client_requested,client_requested,1.0,True
S100504,quiet shift,routine,routine,0.9,True
S107445,"toko Fourie shift as well, 2 posts 1 guard",absence_cover,routine,0.74,False
S105589,extra hours approoved by clinet for the event setup,client_requested,client_requested,1.0,True
S104419,shift handover delayed by 25 min !,late_handover,late_handover,1.0,True
S107473,"wroked through, naidoo at the clinic",absence_cover,absence_cover,1.0,True
S101083,quiet shift,routine,routine,0.9,True
S100377,"masjien is stukkend, alles met die hand gedoen",equipment_failure,equipment_failure,1.0,True
S102826,n/a,blank,blank,1.0,True
S100391,"aflos het nie opgedaag nie, moes aabnly",absence_cover,routine,0.38,False
S108328,"covering Jacobs post, no show no call",absence_cover,absence_cover,1.0,True
S100618,nothing to report,routine,routine,0.93,True
S107742,"control room says relief coming, nobdoy came",absence_cover,absence_cover,1.0,True
S104637,extra hours approved by client for the event setup,client_requested,client_requested,1.0,True
S100893,"buffer machine kaput, did the floor by hand..",equipment_failure,equipment_failure,1.0,True
S104125,"waited for relief, nobody came through",absence_cover,late_handover,0.6,False
S103628,extra hrs approved by client for the event setup,client_requested,client_requested,1.0,True
S106131,extra hrs approved by client for the event setup,client_requested,client_requested,1.0,True
S107763,no incidents,routine,absence_cover,1.0,False
S107745,"requested by centre management for load in, signed off !",client_requested,client_requested,1.0,True
S106445,no relief. stayed. someone must please sort the roster..,absence_cover,absence_cover,1.0,True
S106151,shift handover delayed by 50 min,late_handover,late_handover,1.0,True
S103016,ok,blank,blank,1.0,True
S104630,"lift out of order, everything carried up stairs, took long",equipment_failure,equipment_failure,0.57,True
S104543,exra hours approved by client for the event setup,client_requested,client_requested,1.0,True
S104784,"machine down agn, took twice as long..",equipment_failure,equipment_failure,1.0,True
S101584,Client requested deep clean before the audit - approved,client_requested,client_requested,1.0,True
S107058,"control room says relief coming, nobody came",absence_cover,absence_cover,1.0,True
S100599,"double duty today, jacobs on family responsibility leave",absence_cover,absence_cover,1.0,True
S106491,Client asked for extra patrol after the break-in Tuesday,client_requested,client_requested,1.0,True
S108623,"nxt shift akafikanga, ngihlale kuze kube 0600",absence_cover,absence_cover,1.0,True
S108587,"worked through, september at the clinic",absence_cover,absence_cover,0.8,True
S107327,no relief. staye. someone must pleease sort the roster !,absence_cover,absence_cover,1.0,True
S109285,shift handover delayed by 30 min,late_handover,late_handover,1.0,True
S104563,shift handover delayed by 30 min,late_handover,late_handover,1.0,True
S101903,no incidents,routine,absence_cover,1.0,False
S104534,"took Wyk shift as well, 2 posts 1 guard..",absence_cover,absence_cover,1.0,True
S100693,"handover late agn, keys missing !",late_handover,late_handover,1.0,True
S102396,"next shift akafikanga, ngihlale kuze kube 06h00",absence_cover,absence_cover,1.0,True
S108862,"stocktake ran over, client asked us to remain, they know they pay for it",client_requested,client_requested,1.0,True
S106564,centre manager requested additional cover for stocktake,client_requested,client_requested,1.0,True
S101591,"uAdams akezanga namhlanje, ngimele yena",absence_cover,absence_cover,1.0,True
S107632,shift handover delayed by 40 min,late_handover,late_handover,1.0,True
S107123,"oorhandiging was laat, geewag vir sleutels",late_handover,late_handover,1.0,True
S100716,Botha off sick. again. covered,absence_cover,absence_cover,1.0,True
S106552,Covering for Khumalo - booked off sick,absence_cover,absence_cover,1.0,True
S108889,"masjien is stukkend, alles met die hand gedoen",equipment_failure,equipment_failure,1.0,True
S100160,"aflos het nie opgedaag nie, moes aanbly",absence_cover,absence_cover,0.42,True
S108113,"client wanted extra man on the gate for the event, approved",client_requested,client_requested,1.0,True
S104315,Covered for Zulu agn - 3rd time this month,absence_cover,absence_cover,1.0,True
S100588,"oorhandiging was laat, gewag vir sletuels",late_handover,late_handover,1.0,True
S106213,"Radebe didnt come in, covered the post",absence_cover,absence_cover,1.0,True
S102110,"client says stay till 0600, dont know if office approved",client_requested,client_requested,1.0,True
S103965,"Mavuso didnt come in, covered the post",absence_cover,absence_cover,1.0,True
S102765,"buffer mcahine kaput, did the floor by hand..",equipment_failure,equipment_failure,1.0,True
S102065,"CLIENT ASKED US TO STAY FOR THE DELIVERY, OK'D BY CENTRE MGMT",client_requested,client_requested,1.0,True
S108797,Client requested deep clean before the audit - approved,client_requested,client_requested,1.0,True
S100570,no incidents,routine,absence_cover,1.0,False
S106130,extra hours approved by client for the event setup,client_requested,client_requested,1.0,True
S105900,"covering Maluleke post, no show no call",absence_cover,absence_cover,1.0,True
S100159,"lift out of order, everything carried up stairs, took long",equipment_failure,equipment_failure,0.57,True
S107412,Client requested deep clean before the audit - approved,client_requested,client_requested,1.0,True
S104919,double shift bc relief never pitched,absence_cover,absence_cover,1.0,True
S104519,"SCRUBBER BROKE DOWN, HAD TO DO THE FLOOR MANUALLY",equipment_failure,equipment_failure,1.0,True
S104625,"scrubber broke down, had to do the floor manually",equipment_failure,equipment_failure,1.0,True
S104230,"HENDRICKS DIDNT COME IN, COVERED THE POST",absence_cover,absence_cover,1.0,True
S107710,"buffer machine kaput, did the floor by hand..",equipment_failure,equipment_failure,1.0,True
S107512,no issues on site,routine,routine,0.97,True
S107337,next shift guard did not pitch. had to cover.,absence_cover,absence_cover,1.0,True
S109128,sharp,blank,blank,1.0,True
S104122,-,blank,blank,1.0,True
S100731,"late handover, waiting on paperwork",late_handover,late_handover,1.0,True
S107041,"client says stay till 0600, dont know if offcie approved",client_requested,client_requested,1.0,True
S107057,no incidents,routine,absence_cover,1.0,False
S108017,"relief only arrived six, stayed until thhen",absence_cover,absence_cover,1.0,True
S100815,,blank,blank,1.0,True
S105108,"buffer machine kaput, did the floor by hand",equipment_failure,equipment_failure,1.0,True
S104091,"double duty today, Ngcobo on family responsibility leave",absence_cover,absence_cover,1.0,True
S105998,sharp,blank,blank,1.0,True
S106138,"relief only arrived 06:00, stayed until then",absence_cover,absence_cover,1.0,True
S103597,"covering Molefe post, no show no call..",absence_cover,absence_cover,1.0,True
S107765,no relief. stayed. someone must please sort the roster,absence_cover,absence_cover,1.0,True
S102732,stood in for Khumalo,absence_cover,routine,0.57,False
S100013,"no replacement sent, ngicela sort this out",absence_cover,absence_cover,1.0,True
S107891,"covering Radebe post, no show no call",absence_cover,absence_cover,1.0,True
S104320,client signed for the extra hrs but real reason is relief no show again,absence_cover,absence_cover,1.0,True
S103450,"client wanted extra man on the gate for the event, approved",client_requested,client_requested,1.0,True
S105833,Centre manager requested additional cover for stocktake..,client_requested,client_requested,1.0,True
S107430,"buffer machine kaput, did the floor by hand",equipment_failure,equipment_failure,1.0,True
S105324,"waited 20 min for handover, OB book not signed",late_handover,late_handover,1.0,True
S101068,"mavuso didnt come in, covered the post",absence_cover,absence_cover,1.0,True
S103089,"took Mavuso shift as well, 2 posts 1 guard",absence_cover,absence_cover,1.0,True
S106346,"CLIET SAYS STAY TILL 0600, DONT KNOW IF OFFICE APPROVED",client_requested,client_requested,1.0,True
S100845,n/a,blank,blank,1.0,True
S101082,-,blank,blank,1.0,True
S102397,"relief oly arrived six, stayed until then",absence_cover,absence_cover,1.0,True
S101577,"stocktake ran over, client asked us to remain, they know they pay for it",client_requested,client_requested,1.0,True
S103386,akukho lutho,routine,routine,1.0,True
S100261,"extra patrol per client email, approved by office",client_requested,client_requested,1.0,True
S108560,"Motaung absent, took her rounds as well",absence_cover,absence_cover,0.83,True
S100346,"gate motor faled, manned it by hand till 06h00",equipment_failure,equipment_failure,0.84,True
S107758,"waited for relief, nobody came through",absence_cover,late_handover,0.6,False
S103760,client signed for the extra hours but real reason is relief no show agn,absence_cover,absence_cover,1.0,True
S105632,"late handover, waiting on paperwork",late_handover,late_handover,1.0,True
S102162,quiet shift,routine,routine,0.9,True
S106556,"gate motor failed, manned it by hand till six",equipment_failure,equipment_failure,0.94,True
S106150,"DOUBLE DUTY TODAY, WYK ON FAMILY RESPONSIBILITY LEAVE",absence_cover,absence_cover,1.0,True
S104946,ok,blank,blank,1.0,True
S109135,"late handover, waiting on paperwork",late_handover,late_handover,1.0,True
S107358,"extra patrool per client email, approved by office",client_requested,client_requested,1.0,True
S108965,"client says stay till six, dont know if office approved",client_requested,client_requested,0.93,True
S107557,Balloyi off sick. agn. covered,absence_cover,absence_cover,1.0,True
S102889,"client says stay till 6am, dont know if office approved",client_requested,client_requested,1.0,True
S101114,klient het ekstra ure gevra vir stocktake !,client_requested,client_requested,1.0,True
S104158,"client says say till 6am, dont know if office approved",client_requested,client_requested,1.0,True
S108836,"waited for relief, nobody came through",absence_cover,late_handover,0.6,False
S103378,"handover laet agn, keys missing",late_handover,late_handover,1.0,True
S108174,shift handover delayed by 20 min..,late_handover,late_handover,1.0,True
S102121,akukho lutho,routine,routine,1.0,True
S106272,"additional cover requested by site manager, signed off",client_requested,client_requested,1.0,True
S102883,"client asked us to stay for the delivery, ok'd by centre mgmt",client_requested,client_requested,1.0,True
S104413,"double duty today, Zulu on family responsibility leave",absence_cover,absence_cover,1.0,True
S102630,"took dlamini shift as well, 2 posts 1 guard",absence_cover,routine,0.74,False
S103206,stood in for Fourie,absence_cover,routine,0.56,False
S103609,"gedek vir Ndlovu, siek gemeld",absence_cover,absence_cover,1.0,True
S103551,CLIETN ASKED FOR EXTRA PATROL AFTER THE BREAK-IN TUESDAY,client_requested,client_requested,1.0,True
S107118,klient het ekstra ure gevra vir stocktake,client_requested,client_requested,1.0,True
S107491,zulu off sick. again. coveered.,absence_cover,absence_cover,1.0,True
S103775,"scrubber broke down, had to do the floor manually..",equipment_failure,equipment_failure,1.0,True
S104429,"Septeember didnt come in, covered the post",absence_cover,absence_cover,1.0,True
S104005,"Mabaso didnt come in, covered the post",absence_cover,absence_cover,1.0,True
S102885,sharp,blank,blank,1.0,True
S106574,ntr,blank,blank,1.0,True
S104365,"additional cover requested by site mgr, signed off",client_requested,client_requested,1.0,True
S105303,extra hours approved by client for the event setup,client_requested,client_requested,1.0,True
S102254,"client says stay till 6, dont know if office approved",client_requested,client_requested,1.0,True
S102028,"stocktake ran over, client asked us to reemain, they know they pay for it",client_requested,client_requested,1.0,True
S107739,klient het ekstra ure gevra vir stocktake..,client_requested,client_requested,1.0,True
S100313,"generator fault, stayed to monitor",equipment_failure,equipment_failure,0.98,True
S105239,"scrubber broke down, had to do the floor manually",equipment_failure,equipment_failure,1.0,True
S101500,"Sithole absent, took her rounds as well",absence_cover,absence_cover,0.85,True
S109296,"NEXT SHIFT AKAFIKANGA, NGIHLALE KUZE KUBE 0600..",absence_cover,absence_cover,0.79,True
S109301,"took Wyk shift as well, 2 posts 1 gard..",absence_cover,routine,0.76,False
S102605,n/a,blank,blank,1.0,True
S103931,niks om te rapporteer nie,routine,routine,0.97,True
S102420,"oorhandiging was laat, gewag vir sleutels",late_handover,late_handover,1.0,True
S108871,Client askeed for extra patrol afetr the break-in Tuesday,client_requested,client_requested,1.0,True
S105150,-,blank,blank,1.0,True
S106438,stood in for Mabaso,absence_cover,routine,0.53,False
S102631,"NEXT SHIFT AKAFIKANGA, NGIHLALE KUZE KUBE 06:00",absence_cover,absence_cover,1.0,True
S105083,"additional cover requested by site manager, signed off",client_requested,client_requested,1.0,True
S108286,"masjien is stukkend, alles met die hand gedoen",equipment_failure,equipment_failure,1.0,True
S101325,klient het ekstra ure gevra vir stocktake !,client_requested,client_requested,1.0,True
S108195,"relief never arrived, stayed on till 6am",absence_cover,absence_cover,1.0,True
S104015,"covering Motaung post, no show no caall",absence_cover,absence_cover,1.0,True
S102989,"handover late agn, keys missing",late_handover,late_handover,1.0,True
S108078,Next shift guard did not pitch. Had to covr.,absence_cover,absence_cover,1.0,True
S106439,"double duty today, Sithole on family responsibility leave",absence_cover,absence_cover,1.0,True
S101779,"late handover, waiting on paperwork",late_handover,late_handover,1.0,True
S101122,PILLAY OFF SICK. AGN. COVERED !,absence_cover,absence_cover,1.0,True
S102228,stood in for Fourie,absence_cover,routine,0.56,False
S100554,Centre manager requested addtional cover for stocktake..,client_requested,client_requested,1.0,True
S108850,.,blank,blank,1.0,True
S106565,ok,blank,blank,1.0,True
S109287,"waited 25 min for handover, OB book not signed..",late_handover,late_handover,1.0,True
S108347,n/a,blank,blank,1.0,True
S107387,"took naidoo shift as well, 2 posts 1 guard..",absence_cover,absence_cover,1.0,True
S106396,Client asked for extra patrol after the break-in Tuesday..,client_requested,client_requested,1.0,True
S100905,quiet shift,routine,routine,0.9,True
S100333,"geddek vir Mabaso, siek gemeld..",absence_cover,absence_cover,1.0,True
S103806,Ndlovu off sick. aggn. covered,absence_cover,absence_cover,1.0,True
S103850,no issues on site,routine,routine,0.97,True
S101502,"additional cover requested by site manager, signed off",client_requested,client_requested,1.0,True
